Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
habis sahur jam si bayi nete x sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0
tidak kak emak tidak suka sama sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
kelakuan homo jaman now ngentot live blued gay video gvid lokal hangat,0,1,0,0,0,0,0,0,0,0,0,0
tidak kak bukan orang jawa maaf orang palembang soalnya kakak deh belajar aksara jawa kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training mentang gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya kabur matahari,1,1,0,1,0,0,0,0,1,0,1,0
bajingan melukai lady harus menerima ganjaran seratus kali lipat sanji selamat ulang tahun thpelautjkt,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0
presiden ri jokowi luar biasa kerja tulus ikhlas rakyatb rsamajkw,0,0,0,0,0,0,0,0,0,0,0,0
edan memang tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
tidak pernah mendalami al alquran bang pantas saja mulutnya orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
sangat terlihat beda sekali kewibawaannya sangat berwibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0
anjir baru kali lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sesungguhnya kekayaan tutur djarot hadapan pese a rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
apa iya islam tidak boleh di lokalisasi lah kristen mas nusantaranya mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
positif kok positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,0,0,0,0,0,0,0,0,0,0,0,0
kata sembahyang mengadopsi tradisi lokal masa pekerjaan hindu lahir tradisi ritus tunggal sama menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
kamu pendidikan tinggi tapi bodoh tidak larang bawa agama orang islam bayar ahok sadar tidak jadi memilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0
ahok the best abaikan kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
otak tempurung tidak usah meladeni semakin lawan semakin belum dungu kalau tidak tidak makan,1,1,1,0,0,0,0,0,1,1,0,0
awaasss jangan beritanya saudara gerung susah mencari kosakatanya kalau bocor memicing mata bibir monyong kesamping suara keluar ky nhn kentut politik kotor sekali zaman kalau tahu b pulang ky nhn ngeden dungu,1,1,1,0,0,0,1,0,0,1,0,0
pinokio umur tahunan ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
cerita silat lae semacam kho merah muda indonesia tapi liang ie shen penulis cina,0,0,0,0,0,0,0,0,0,0,0,0
benci sekali umat islam,1,0,0,1,1,0,0,0,0,0,1,0
provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
nete,0,1,0,0,0,0,0,0,0,0,0,0
wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur bisa lahir siapa penguasa rakyat ulama maupun cendikia bahkan iblis makhluk alim beribadah beratus tahun dilaknat hasud takaburnya hanya seorang ahli ilmu filsafat tidak failosof demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
a orang suka konser konser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
kapan makan racun banyak ulama mengatakan hukum rokok mubah,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri meminta khofifah emil dekat masyarakat no bisa bagus khofifahemilnomer,0,0,0,0,0,0,0,0,0,0,0,0
biasa kali penggemar korea pop tapi kalau mengomong sama teman idol banci homo,1,1,1,0,0,0,0,1,0,1,0,0
suka video awal kisah perseteruan haji bolot malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya kafir bersungguh kalau islam tidak diindahkan,0,0,0,0,0,0,0,0,0,0,0,0
lah lah lah hem hem semua diam semua bisu coba tanya sama rumput bergoyang,0,0,0,0,0,0,0,0,0,0,0,0
apabila setan membisikkan was was kepadamu mintalah perlindungan allah qs al a fussilat,0,0,0,0,0,0,0,0,0,0,0,0
kalau kamu ateis apa sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
selamat hari kakak ganti presiden presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0
bajingan homo anak terutama kamar mandi laki jangan biarkan sendiri,1,1,1,0,0,0,0,1,0,1,0,0
iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
mengajarkan salat a orang asing hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
x kamu berbicara tidak benar bangkai,1,1,1,0,0,0,0,0,1,1,0,0
semua tidak pernah memercayai negara di suatu hari dijajah ke ranah terdapat kes pembubaran sistem beraja di negara kini menjadikan negara republik komunis padahal negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
tapi menikmati kebijakan dulu diusulkan partai komunis indonesia lah iya apa,1,0,0,1,0,1,0,0,0,0,1,0
kalau seumpama orang cina usir paksa indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
cina babi cina maling usir cina co iya hiwhjp,1,1,0,1,0,1,0,0,0,0,0,1
bung karno anti asing beliau jawa coba deh adakan konsensus lebih banyak mana jawa anti asing pro asing kebo ohannya keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi rezim susilo bambang yudhoyono,1,0,1,0,0,0,0,0,1,1,0,0
wajar lihat tingkah beberapa petinggi negeri suka mencampur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi senang berkompetisi baik positif,0,0,0,0,0,0,0,0,0,0,0,0
terus kamu kitab suci agama apa om mendadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
suka menutup mata tidak ditutup terlihat te utup gara sipit,0,0,0,0,0,0,0,0,0,0,0,0
muslim tidak merasa pak menistakan kitab suci alquran an alquran an sendiri beberapa suku kata detik belum diketahui makna faktualnya umat islam kata tersebut makna tersirat fiksi belum,0,0,0,0,0,0,0,0,0,0,0,0
eh kasar kamu kampang,1,1,1,0,0,0,0,0,1,1,0,0
bentar rilis album the onta wkwk,0,0,0,0,0,0,0,0,0,0,0,0
cebong bang merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
najis banget mentwit apa barusan he,0,1,0,0,0,0,0,0,0,0,0,0
kamu transgender bagaimana anjing,1,1,1,0,0,0,0,1,0,1,0,0
awas bintitan kamu mengintip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa deh,0,1,0,0,0,0,0,0,0,0,0,0
menyarankan tidak perlu banyak bacot maling ayat langsung to the point kamu jadi orang tidak sepaham kamu teriaki kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh,1,1,1,0,1,0,0,0,0,1,0,0
jangan salah target bukan ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
masa baru kena tagar kepanasan ingin tahu banget ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh,0,1,0,0,0,0,0,0,0,0,0,0
huria kristen batak protestan berdiri sejak pecahnya kristen katolik zaman penjajahan belanda dulu tidak namanya kristen protestan cuma kristen katolik perpecahan berdirilah huria kristen batak protestan p sama kali tarutung sekarang k,0,0,0,0,0,0,0,0,0,0,0,0
apa apa banyak baca pintar jepang amerika cina utang sama siapa tidak,0,0,0,0,0,0,0,0,0,0,0,0
prabowo kalah menyebut bantuan jokowi hanya pencitraan ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0
goblok bani cebong tukang tipu penjilat penguasa ketahuan gerakan masa dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
wah cebong sewot,1,1,1,0,0,0,0,0,1,1,0,0
gerakan menekankan pentingnya kerja keras total tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
padahal gubernur djarot mayoritas pak ai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah,1,0,1,0,0,0,0,0,1,1,0,0
rezim rusak bukan memperbaiki sistemnya malah sibuk cari kesalahan kalau pasti ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
orang orang saling menuding antek asing asing sesungguhnya be epuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
nah lah katanya anti asing,0,0,0,0,0,0,0,0,0,0,0,0
selamat pak semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
asyikm ikut ulama,0,0,0,0,0,0,0,0,0,0,0,0
ketahui diketapang banyak tenaga kerja asing asing bekerja berbagai perusahaan termasuk pt who tambang bauksit viral pemilihan presiden dulu bisa jadi kerja sama tersebut terjadi era gubernur cornelis wakilnya tidak,0,0,0,0,0,0,0,0,0,0,0,0
anak pecun tidak jauh hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
aku bom surat berharga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
istirahat pak presiden momentum berlalu pernah jadi saksi telinga mata awal rapat pembentukan pacitan tahun,0,0,0,0,0,0,0,0,0,0,0,0
house select committee on assassination hsca menemukan cacat investigasi dilakukan fbi warren commission hsca menyimpulkan empat tembakan dilakukan kemungkinan terdapat konspirasi dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
tak terasa genap tahun mendatang april digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
mengakuinya orang pintar beragama memangnya agama mana memperbolehkan menista menghujat orang jangankan orang bodoh orang maaf sejak lahir idiot sekalipun harus hargai sesama ciptaan tuhan ingat iblis pintar sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
pendaftaran calon presiden pemilihan presiden belum dibuka agustus normatif begini politikus partai demokrasi indonesia perjuangan belum paham ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
tolol pemerintah rezim komunis bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong,1,1,1,0,0,1,0,0,0,1,0,0
dulu bapak kalau mantan mantan selalu merasa sedih kepikiran tidak bisa tidur lo merasa jadi anak berengsek laki,0,1,0,0,0,0,0,0,0,0,0,0
cina perusak bangsa usir setuju,1,0,0,1,0,1,0,0,0,0,0,1
ganti presiden konstitusional hak rakyat woiii begini kalau plonga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
wujudkan pilihan kepala daerah kota bengkulu aman damai coki adem heru,0,0,0,0,0,0,0,0,0,0,0,0
mau tanya serius sama presiden jokowi cuma islam nusantara tidak kristen nusantara buddha hindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowok jago drasex mana sini ngentot sama adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
kroasia kafir apa belajar sama kafir lupa sama kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
lah bukan menteri suha o homo,1,1,1,0,0,0,0,1,0,1,0,0
lah bukan dulu culun takut semua orang pasti berubah perlahan entah baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
perang salib dulu kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setoran memang cukup bangsat mana rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
semoga tindak lanjutnya pelaporan penista agama adek armando dilakukan langsung ketua umum front pembela islam kh shobri lubis badan reserse kriminal markas besar kepolisian republik indonesia gambir jaka a pusat selasa pukul waktu indonesia bagian barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0
bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1
mati kalau kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0
ahok tng terus was was hidupnya,1,0,1,0,0,0,0,0,1,1,0,0
baru sul teng ekses akibat tersandera hutang cina ganti presiden presidenbaru tetapjokowiganti,1,0,1,0,0,0,0,0,1,1,0,0
pride yunani hyper keangkuhan harga diri kesombongan sebutan hubris vanity harga diri tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0
aku be anya tujuan hati menjawab hati tak tenang be anya logika sedih cari jawaban wasiat beliau tinggalkan aku mulai menjadi terasing asing mata manusia apa duhai diri,0,0,0,0,0,0,0,0,0,0,0,0
tak hanya kurang be aji komisi pemberantasan korupsi era tapi era komitmen pemberantasan korupsi tidak surat pemberitahuan tahunan era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
admin tolol pak ai tolol ai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak,0,1,0,0,0,0,0,0,0,0,0,0
video tenaga kerja asing dibuat malaysia tapi mengutip pernyataan,0,0,0,0,0,0,0,0,0,0,0,0
ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
random pagi bapak menyamper meja kerja terus bertanya pakai bedak apa mukanya bersih istri butek soalnya ku jawab pakai air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
kok kampret,0,1,0,0,0,0,0,0,0,0,0,0
memek lonte ingin disodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi mundur tutup,1,0,1,0,0,0,0,0,1,1,0,0
berbicara apa mulut kok sepe i banci beli kaca dulu lihat dirimu bro,1,1,1,0,0,0,0,1,0,1,0,0
amin racist dani ratna paiiit onta lobang anus jangan takut oi oi obat penenang,1,1,1,0,0,0,0,0,1,1,0,0
tunggu komando imam bejat cabul tai bir bawa ulama banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet berantakan belah persatuan hanya rezim,1,0,0,1,0,0,0,0,1,0,1,0
ih mengakui lebih pintar orang politik mengaca dulu oi tampang kamu k orang bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0
partai demokrasi indonesia perjuangan menang menekan perusahaan tambang target proyek impossible lalu dilelang murah antek cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar bajingan,1,1,0,1,0,0,0,0,1,0,1,0
tidak percaya sama mulut buaya mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
susilo bambang yudhoyono prabowo menyatu melawan mega jokowi peristiwa terulang partai demokrasi indonesia perjuangan incumbent dikalahkan mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai poros pemilihan presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
jangan banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing pemilihan presiden melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
terakhir indonesia negara populasi muslim terbesar dunia mana islam merupakan musuh barat komunis dapat menghambat agenda kepentingan obviously,0,0,0,0,0,0,0,0,0,0,0,0
umuh persib kunyuk,1,1,0,1,0,0,0,0,1,0,1,0
buat film muslim pilih ahok mati enggak disalatkan dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0
tapi banu banu yahudi tentu beda banu banu kristen suriah salah satu perbedaan banu yahudi tetap pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
eh muka merah tak dapat cendol bukan lah setan cuaca sekarang panas,0,1,0,0,0,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo anies sandi sebenarnya media menumpahkan sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing hari rabu april melaksanakan sambang desa tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
sayang banget melihat perempuan begini tidak status apa menempel sama laki laki sana sini aduh slavina blak blak sebut ayu ting ting kampungan viva,0,1,0,0,0,0,0,0,0,0,0,0
jangan lupa kang umat katolik minoritas lainnya diperhatikan gubernur semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0
kan bukan cebong dibilangi kemarin mengeyel memaksa jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0
kelemahan gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat hari kakak kali selalu dirayakan lalu apa maknanya kali,0,0,0,0,0,0,0,0,0,0,0,0
foto memang bisu memiliki banyak a i susah ikan sama sepe i kamu susah ikan mau putus lanjut,0,0,0,0,0,0,0,0,0,0,0,0
wkwk aku mengalaminya setibanya muncul grub wa a bani abdi hadi a k a mbahku seketika aku mek kenal beberapa orang,0,0,0,0,0,0,0,0,0,0,0,0
ayah pres badar nuqaba paling boekkk hebat bidang agama x takut natural killer tegur member sendiri selalu buat lawak hambar paling aku ingat sekarang lawak kalau orang cukup jom gerak sekarang gerakan badan chubby,0,0,0,0,0,0,0,0,0,0,0,0
seorang anak pekan mengilhamkan dasar ekonomi baru deb menjadi penggerak utama kemajuan ekonomi luar bandar beliau allah ya rahman tun abdul razak ds malaysia memilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
haha sialaaan ternyata kalau lapar presiden mau disikat sama,0,0,0,0,0,0,0,0,0,0,0,0
mau menasihati kali tidak ugal an rezim eh tapi negeri keburu hancur nah sekarang ekonomi moral menikah kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
alah silit kebelet dikasihani orang makin sayang pak kasus media sosial baru sadar beberapa satu instansi kemarin ceritakan duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
iya tadi cacat,0,0,0,0,0,0,0,0,0,0,0,0
tahun rakyat makan aspal beton solusi jitu mengurangi kemiskinan keahlian cebong hanya tukang tipu cebong goblok enggak ketulungan plonga plongo mengakibatkan optimisme berlebihan ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0
aku pernah sempat baca harun yahya membelot kubu yahudi freemason kadang suka tidak percaya,0,0,0,0,0,0,0,0,0,0,0,0
maju bersama ulama bergerak bersama semua tokoh agama indonesia ikut gus mus,0,0,0,0,0,0,0,0,0,0,0,0
mukidi terlalu percaya diri pe anyaan mudah dijawab keras tapi meminta dijawab keras siapa nama,0,0,0,0,0,0,0,0,0,0,0,0
kemarin hujat sekarang mengharap dasar bani kampret,1,1,0,1,0,0,0,0,1,0,1,0
penjelasan bukan fitnah silakan dibantah apollinaris darmawan sebut al alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0
monyet koloe dibilang saudara sama kamu pasti ogah hidupmu kok begini hati apa comberan,1,1,1,0,0,0,0,0,1,1,0,0
body lufra scrub bahan dasar lidah buaya melembabkan kulit lebih bercahaya info body mass index,0,0,0,0,0,0,0,0,0,0,0,0
tak punya cacat masa lalu belum bermasa lalu,0,0,0,0,0,0,0,0,0,0,0,0
jangan penganut bumi datar teori bumi bulat kan orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
becak warga binjai hendak disita gunakan tenda be uliskan ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
lebih baik jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
musyawarah nasional alim ulama ppp semarang menghasilkan lima rekomendasi syarat kriteria kriteria calon wakil presiden mendampingi bapak jokowi mendatang romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
luar biasa pencerahan merasa gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
kafan berasal budaya yahudi umat islam mengklaim,0,0,0,0,0,0,0,0,0,0,0,0
rezim sekarang atas kendali negara cina komunis menjadi patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
tanda mau pilihan kepala daerah pemilihan presiden,0,0,0,0,0,0,0,0,0,0,0,0
misi membangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur no jabarasyik asyikm,0,0,0,0,0,0,0,0,0,0,0,0
ketabahan pasangan taufik puan iyana wajar dicontohi jom beri sumbangan meringankan beban pasangan come on twitter do your berpikir badan standarisasi nasional bank islam iyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
apa sih tai baru doang belaganya selangit tidak ingat karma beberapa tahun kalau idol kamu flop tertawa paling keras,1,1,1,0,0,0,0,0,1,1,0,0
celeng kangen iya,0,1,0,0,0,0,0,0,0,0,0,0
terangi negeri budaya yuk mengunjungi purwoke o mumpung even rakyat purwoke o ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0,0,0,0
presiden punya dana taktis bisa menggunakan kepentingan rakyatnya luar program pemerintah soal program banyak sekali pembangunan infrastruktur kip kartu indonesia sehat se ifikat tanah perhutanan sosial bahan bakar minyak harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
amin allah kinan pelatihan ular dapat rawa rawa aku dapatnya sungai gede musuhnya buaya wkwk,0,0,0,0,0,0,0,0,0,0,0,0
maju kamu memaki mama aku bolot,1,1,1,0,0,0,0,0,1,1,0,0
gerombolan kadal jidat gosong memang sukanya ribut tapi kalau gerombolannya salah pura budek dasar gerombolan cingkrang,1,1,0,1,0,0,1,0,0,0,1,0
sebegitu gentarnya takut kafir,0,0,0,0,0,0,0,0,0,0,0,0
betul padahal saracen siapa akun kritis dianggap saracen kan aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
siapa bego kamu bukan teman najis kesal sendiri,1,1,1,0,0,0,0,0,1,1,0,0
kafir kristen selalu buat ulah,1,1,0,1,1,0,0,0,0,0,1,0
dong bau baunya keciri sipit buluk,1,1,1,0,0,1,0,0,0,1,0,0
memegang bukan mucikari,0,0,0,0,0,0,0,0,0,0,0,0
guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah mendukung pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
anjir seram mainnya begituan,0,1,0,0,0,0,0,0,0,0,0,0
kayaknya bisa cuma bank te entu mau jual uang asing tukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
onta yaman depo asi kamu,1,1,1,0,0,0,0,0,1,0,0,1
